"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.407245833E-2,3.547622681E-2,1.514849854E-1,9.745783539E0,9.747025344E0
3.411245832E-2,3.188369751E-2,1.538800049E-1,9.740544434E0,9.741812023E0
4.415245833E-2,2.275268555E-2,1.481918335E-1,9.746232605E0,9.747385726E0
5.419245832E-2,2.499801636E-2,1.550775146E-1,9.750723267E0,9.751988421E0
6.423345832E-2,2.320175171E-2,1.514849854E-1,9.742490387E0,9.743695652E0
7.427345833E-2,2.694396973E-2,1.538800049E-1,9.746981049E0,9.748232896E0
8.431345833E-2,3.188369751E-2,1.523831177E-1,9.751621399E0,9.752864046E0
9.435345832E-2,2.215393066E-2,1.462458801E-1,9.743388519E0,9.744511198E0
1.043944583E-1,2.290237427E-2,1.474433899E-1,9.746531982E0,9.747674069E0
1.144344583E-1,2.888992310E-2,1.535806274E-1,9.748777313E0,9.750029781E0
1.244744583E-1,2.948867798E-2,1.588197327E-1,9.747130737E0,9.748469157E0
1.345144583E-1,2.409988403E-2,1.568737793E-1,9.752369843E0,9.753661248E0
1.445544583E-1,3.487747192E-2,1.471440125E-1,9.749675446E0,9.750848122E0
1.545954583E-1,2.724334717E-2,1.570234680E-1,9.744436340E0,9.745739488E0
1.646354583E-1,2.709365845E-2,1.422042847E-1,9.743837585E0,9.744912879E0
1.746754583E-1,2.739303589E-2,1.508862305E-1,9.750723267E0,9.751929104E0
1.847154583E-1,3.188369751E-2,1.472937012E-1,9.742939453E0,9.744104946E0
1.947564583E-1,3.472778320E-2,1.517843628E-1,9.746981049E0,9.748224663E0
2.047964583E-1,3.323089600E-2,1.505868530E-1,9.743687897E0,9.744908133E0
2.148364583E-1,3.038681030E-2,1.501377869E-1,9.747130737E0,9.748334336E0
2.248764583E-1,3.382965088E-2,1.505868530E-1,9.745484161E0,9.746706233E0
2.349164583E-1,2.933898926E-2,1.456471252E-1,9.749825134E0,9.750957082E0
2.449574583E-1,3.353027344E-2,1.546284485E-1,9.746082916E0,9.747367155E0
2.549974583E-1,2.335144043E-2,1.525328064E-1,9.745633850E0,9.746855426E0
2.650374583E-1,3.592529297E-2,1.516346741E-1,9.753567352E0,9.754812135E0
2.750774583E-1,2.664459229E-2,1.474433899E-1,9.752519531E0,9.753670422E0
2.851184583E-1,3.173400879E-2,1.474433899E-1,9.749974823E0,9.751141249E0
2.951584583E-1,3.397933960E-2,1.469943237E-1,9.749226379E0,9.750393680E0
3.051984583E-1,1.631607056E-2,1.526824951E-1,9.746681671E0,9.747891144E0
3.152384583E-1,3.038681030E-2,1.555265808E-1,9.754315796E0,9.755602930E0
3.252794583E-1,3.038681030E-2,1.484912109E-1,9.742789764E0,9.743968667E0
3.353194583E-1,2.844085693E-2,1.577719116E-1,9.743837585E0,9.745156323E0
